31/10/2017 11:41,229,675 /escm/login/auth,200,OK,Thread Group 1-1,text,true,,5976,1,1,224
31/10/2017 11:41,229,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,5976,1,1,224
31/10/2017 11:41,1053,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-1,text,true,,9596,1,1,222
31/10/2017 11:41,692,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-1,text,true,,8450,1,1,685
31/10/2017 11:41,1745,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,18046,1,1,907
31/10/2017 11:41,413,getOfferDetailsbyUUID,200,OK,Thread Group 1-1,text,true,,16175,1,1,412
31/10/2017 11:41,218,675 /escm/login/auth,200,OK,Thread Group 1-1,text,true,,5976,1,1,215
31/10/2017 11:41,218,Hit_the_portal_with-cache,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,5976,1,1,215
31/10/2017 11:41,1023,676 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-1,text,true,,9595,1,1,219
31/10/2017 11:41,717,680 /escm/dashboard/myAccountInfo,200,OK,Thread Group 1-1,text,true,,8450,1,1,712
31/10/2017 11:41,1740,SP_user_login_46_with_cache,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,18045,1,1,931
31/10/2017 11:41,19,getOfferDetailsbyUUID,200,OK,Thread Group 1-1,text,true,,16175,1,1,18
