timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,Hostname
25/09/2017 14:38,1641,473 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-1,text,true,,10558,2665,2,2,http://10.10.3.16:8080/escm/order/newOrder,838,ESCM-APP
25/09/2017 14:38,1059,473 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-2,text,true,,10558,2701,3,3,http://10.10.3.16:8080/escm/order/newOrder,462,ESCM-APP
25/09/2017 14:38,636,476 /escm/order/newOrder,200,OK,Thread Group 1-1,text,true,,9504,637,3,3,http://10.10.3.16:8080/escm/order/newOrder,633,ESCM-APP
25/09/2017 14:38,584,476 /escm/order/newOrder,200,OK,Thread Group 1-2,text,true,,9504,637,3,3,http://10.10.3.16:8080/escm/order/newOrder,582,ESCM-APP
25/09/2017 14:38,1099,473 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-3,text,true,,10558,2689,4,4,http://10.10.3.16:8080/escm/order/newOrder,489,ESCM-APP
25/09/2017 14:38,704,476 /escm/order/newOrder,200,OK,Thread Group 1-3,text,true,,9504,637,4,4,http://10.10.3.16:8080/escm/order/newOrder,701,ESCM-APP
25/09/2017 14:38,1358,473 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-4,text,true,,10558,2689,5,5,http://10.10.3.16:8080/escm/order/newOrder,581,ESCM-APP
25/09/2017 14:38,643,476 /escm/order/newOrder,200,OK,Thread Group 1-4,text,true,,9504,637,5,5,http://10.10.3.16:8080/escm/order/newOrder,641,ESCM-APP
25/09/2017 14:38,1199,473 /escm/login/doAuth?id=loginform,200,OK,Thread Group 1-5,text,true,,10558,2761,5,5,http://10.10.3.16:8080/escm/order/newOrder,548,ESCM-APP
25/09/2017 14:38,670,476 /escm/order/newOrder,200,OK,Thread Group 1-5,text,true,,9504,637,5,5,http://10.10.3.16:8080/escm/order/newOrder,668,ESCM-APP
25/09/2017 14:38,5356,519 /escm/order/listAllFeaturedOffers,200,OK,Thread Group 1-2,text,true,,5178,698,5,5,http://10.10.3.16:8080/escm/order/listAllFeaturedOffers,5336,ESCM-APP
25/09/2017 14:38,38,520 /escm/messages,200,OK,Thread Group 1-2,text,true,,461,579,5,5,http://10.10.3.16:8080/escm/messages,36,ESCM-APP
25/09/2017 14:38,7855,new_org_user_login_catalog_landing_without_cache,200,"Number of samples in transaction : 46, number of failing samples : 0",Thread Group 1-2,,true,,458809,28850,5,5,null,6951,ESCM-APP
25/09/2017 14:38,5371,519 /escm/order/listAllFeaturedOffers,200,OK,Thread Group 1-1,text,true,,5178,698,4,4,http://10.10.3.16:8080/escm/order/listAllFeaturedOffers,5368,ESCM-APP
25/09/2017 14:38,22,520 /escm/messages,200,OK,Thread Group 1-1,text,true,,461,579,4,4,http://10.10.3.16:8080/escm/messages,21,ESCM-APP
25/09/2017 14:38,8689,new_org_user_login_catalog_landing_without_cache,200,"Number of samples in transaction : 46, number of failing samples : 0",Thread Group 1-1,,true,,458809,28814,4,4,null,7536,ESCM-APP
25/09/2017 14:38,5101,519 /escm/order/listAllFeaturedOffers,200,OK,Thread Group 1-3,text,true,,5178,698,3,3,http://10.10.3.16:8080/escm/order/listAllFeaturedOffers,5098,ESCM-APP
25/09/2017 14:38,15,520 /escm/messages,200,OK,Thread Group 1-3,text,true,,461,579,3,3,http://10.10.3.16:8080/escm/messages,15,ESCM-APP
25/09/2017 14:38,7781,new_org_user_login_catalog_landing_without_cache,200,"Number of samples in transaction : 46, number of failing samples : 0",Thread Group 1-3,,true,,458809,28838,3,3,null,6852,ESCM-APP
25/09/2017 14:38,4784,519 /escm/order/listAllFeaturedOffers,200,OK,Thread Group 1-4,text,true,,5178,698,2,2,http://10.10.3.16:8080/escm/order/listAllFeaturedOffers,4781,ESCM-APP
25/09/2017 14:38,19,520 /escm/messages,200,OK,Thread Group 1-4,text,true,,461,579,2,2,http://10.10.3.16:8080/escm/messages,19,ESCM-APP
25/09/2017 14:38,7694,new_org_user_login_catalog_landing_without_cache,200,"Number of samples in transaction : 46, number of failing samples : 0",Thread Group 1-4,,true,,458809,28838,2,2,null,6586,ESCM-APP
25/09/2017 14:38,4621,519 /escm/order/listAllFeaturedOffers,200,OK,Thread Group 1-5,text,true,,5178,698,1,1,http://10.10.3.16:8080/escm/order/listAllFeaturedOffers,4618,ESCM-APP
25/09/2017 14:38,17,520 /escm/messages,200,OK,Thread Group 1-5,text,true,,461,579,1,1,http://10.10.3.16:8080/escm/messages,17,ESCM-APP
25/09/2017 14:38,7386,new_org_user_login_catalog_landing_without_cache,200,"Number of samples in transaction : 46, number of failing samples : 0",Thread Group 1-5,,true,,458809,28910,1,1,null,6390,ESCM-APP
