sampler_label,aggregate_report_count,average,aggregate_report_median,aggregate_report_90%_line,aggregate_report_95%_line,aggregate_report_99%_line,aggregate_report_min,aggregate_report_max,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,aggregate_report_stddev
675 /escm/login/auth,20,144,58,297,488,756,36,756,0.00%,26.5,154.4,180.71
Hit_the_portal_with-cache,20,144,58,297,488,756,36,756,0.00%,26.5,154.4,180.71
676 /escm/login/doAuth?id=loginform,20,1933,1904,2840,3142,3612,942,3612,0.00%,5.5,51.9,755.58
680 /escm/dashboard/myAccountInfo,20,1663,1697,2446,2700,2752,767,2752,0.00%,7.3,59.5,660.69
SP_user_login_46_with_cache,20,3597,3723,5059,5166,5309,1709,5309,0.00%,3.8,66.1,1300.87
681 /escm/customer/index,20,1597,1267,2493,2908,3026,757,3026,0.00%,6.6,103.6,705.36
682 /escm/customer/list,20,1454,1260,2169,2546,2851,727,2851,0.00%,7.0,108.1,596.38
684 /escm/customer/setSearchBy,20,21,17,34,38,46,11,46,0.00%,434.8,194.0,9.64
686 /escm/messages,20,16,11,24,28,57,8,57,0.00%,350.9,158.0,10.81
685 /escm/customer/listByCriteria,20,332,326,459,470,536,222,536,0.00%,37.3,160.8,85.68
687 /escm/customer/renderCustomerOrganizationDetails,20,569,537,669,725,1181,415,1181,0.00%,16.9,663.9,161.02
688 /escm/messages,20,23,14,40,75,101,9,101,0.00%,198.0,89.1,23.34
689 /escm/messages,20,15,11,26,28,60,9,60,0.00%,333.3,150.1,11.68
List_organizations_with_cache,20,4030,3686,5458,5487,5772,2403,5772,0.00%,3.5,264.7,1151.93
226 /escm/customer/listByCriteria,20,2608,2412,3082,4382,4470,2130,4470,0.00%,4.5,16.4,638.33
227 /escm/customer/renderCustomerOrganizationDetails,20,512,504,666,728,811,342,811,0.00%,24.7,963.7,123.28
228 /escm/messages,20,12,10,17,23,27,8,27,0.00%,740.7,333.5,4.95
229 /escm/messages,20,13,11,20,23,36,8,36,0.00%,555.6,250.1,6.63
46_Org_search_by_orgname_withcache,20,3146,2952,3914,4785,4834,2659,4834,0.00%,4.1,180.6,613.98
TOTAL,380,1149,480,3071,4468,5338,8,5772,0.00%,65.8,994.0,1423.27
